1899,1889,1909
,,Loon op Zand.
,,Loosdrecht.
,,Loosduinen.
,,Lopik.
,,Loppersum.
,,Losser.
,,Luyksgestel.
,,Maarheeze.
,,Maarn.
,,Maarssen.
,,Maarsseveen.
,,Maarten (St.)
,,Maartensdijk (St.).
,,Maartensdijk.
,,Maasbracht.
,,Maasbree.
,,Maasdam.
,,Maashees.
,,Maasland.
,,Maasniel.
,,Maassluis.
,,Maastricht.
,,Made. C.a.
,,Margraten.
,,Markelo.
,,Marken.
,,Marum.
,,MAURIK
,,MEDEMBLIK
,,MEEDEN
,,MEERKERK
,,MEERLO
,,MEERSSEN
,,meeuwen
,,MEGEN c.a.
,,MEIJEL
,,MELICK EN HERKENBOSCH
,,MELISKERKE
,,MELLISSANT
,,MENALDUMADEEL
,,MEPPEL
,,MERKELBEEK
,,MESCH
,,MHEER
,,MICHIELS-GESTEL (St.)
,,MIDDELBURG
,,MIDDELHARNIS
,,MIDDELIE
,,MIDDELSTUM
,,MIDWOLDA
,,MIDWOUD
,,MIERLO
,,MIJDRECHT
,,MIJNSHEERENLAND
,,MILL EN ST. HUBERT
,,MILLINGEN
,,MOERCAPELLE
,,MOERGESTEL
,,MOLENAARSGRAAF
,,MONNICKENDAM
,,MONSTER
,,MONTFOORT
,,MONTFORT
,,MOOK EN MIDDELAAR
,,MOORDRECHT
,,MUIDEN
,,MUNSTERGELEEN
,,MUNTENDAM
,,NAALDWIJK
,,NAARDEN
,,NEDERHEMERT
,,NEDERHORST DEN BERG
,,NEDERWEERT
,,NEEDE
,,NEER
,,NEERITTER
,,NEUZEN
,,NIBBIXWOUD
,,NIEUW- EN ST. JOOSLAND
,,Nieuw-Helvoet
,,Nieuw-Vosmeer.
,,NIEUWE NIEDORP
,,NIEUWE-PEKELA
,,NIEUWE-SCHANS
,,NIEUWENDAM
,,NIEUWENHAGEN
,,NIEUWENHOORN
,,NIEUWER-AMSTEL
,,NIEUWERKERK
,,NIEUWERKERK A/D IJSSEL
,,NIEUWKOOP
,,NIEUWKUYK
,,NIEUWLAND
,,NIEUWLEUSEN
,,NIEUWOLDA
,,NIEUWPOORT
,,NIEUWSTADT 
,,NIEUWVEEN
,,NIEUWVLIET
,,NIGTEVECHT
,,NIJEVEEN
,,NIJKERK
,,NIJMEGEN
,,NISSE
,,Nistelrode.
,,NOORBEEK
,,NOORD-SCHARWOUDE
,,NOORDBROEK
,,NOORDDIJK
,,NOORDELOOS
,,NOORDGOUWE
,,NOORDWELLE
,,NOORDWIJK
,,NOORDWIJKERHOUT
,,NOOTDORP
,,NORG
,,NULAND
,,Numansdorp.
,,Nunen e.a 
,,NUNHEM
,,NUTH
,,OBBICHT EN PAPENHOVEN
,,OBDAM
,,ODIJK
,,ODOLIENBERG (St.)
,,ODOORN
,,OEDENRODE
,,OEFFELT
,,OERLE
,,OESTGEEST
,,OHE EN LAAK
,,OIJEN EN TEEFFELEN
,,OIRSBEEK
,,OIRSCHOT
,,OISTERWIJK
,,OLDEBROEK
,,OLDEHOVEN
,,OLDEKERK
,,OLDEMARKT
,,OLDENZAAL
,,OLST
,,OMMEN (AMBT)
,,OMMEN (STAD)
,,ONSTWEDDE
,,OOLTGENSPLAAT
,,OOST- EN WESTSOUBURG
,,OOSTBURG
,,OOSTDONGERADEEL
,,OOSTELBEERS
,,OOSTERHESSELEN
,,OOSTERHOUT
,,OOSTERLAND
,,OOSTHUIZEN
,,OOSTKAPELLE
,,OOSTMARSUM
,,OOSTSTELLINGWERF
,,OOSTVOORNE
,,OOSTZAAN
,,OPHEMERT
,,OPLOO C.A.
,,OPMEER
,,OPPERDOES
,,OPSTERLAND
,,OSS
,,OSSENDRECHT
,,OSSENISSE
,,OTERLEEK
,,OTTERSUM
,,OTTOLAND
,,OUD EN NIEUW GASTEL
,,OUD-VALKENBURG
,,OUD-VOSSEMEER
,,OUD-VROENHOVEN
,,OUDDORP
,,OUDE-NIEDORP
,,OUDE-PEKELA
,,OUDEKERK AAN DEN IJSSEL
,,OUDELANDE
,,OUDENBOSCH
,,OUDENDIJK
,,OUDENHOORN
,,OUDENRIJN
,,OUDER-AMSTEL
,,OUDEWATER
,,OUDHEUSDEN
,,OUDKARSPEL
,,OUDRORP
,,OUDSHOORN
,,OUWERKERK
,,OVERASSELT
,,OVERSCHIE
,,OVERSLAG
,,OVEZANDE
,,PANCRAS (ST)
,,PANNERDEN
,,PAPEKOP
,,PAPENDRECHT
,,PEIZE
,,PERNIS
,,PETTEN
,,PEURSUM
,,PHILIPPINE
,,PHILIPSLAND (ST)
,,PIERSHIL
,,PIETER (ST.)
,,PIJNACKER
,,POEDEROIJEN
,,POLSBROEK
,,POORTUGAAL
,,POORTVLIET
,,POSTERHOLT
,,PRINCENHAGE
,,PURMEREND
,,PUTTE
,,PUTTEN
,,PUTTERSHOEK
,,RAALTE 
,,RAAMSDONK
,,RANSDORP
,,RAUWEDEHEM
,,RAVENSTEIN
,,REEK
,,REEUWIJK
,,RENKUM
,,RENSWOUDE
,,RETRANCHEMENT
,,REUSEL
,,RHEDEN
,,RHENEN
,,RHOON
,,RIDDERKERK
,,RIETHOVEN
,,RIETVELD
,,RIJNSATERWOUDE
,,RIJNSBURG
,,RIJP (DE)
,,RIJSBERGEN
,,RIJSEN
,,RIJSENBURG
,,Rijswijk (N. Br.)
,,Rijswijk (Z.H.
,,Rilland - Bath
,,Ritthem
,,Rockanje
,,Roden
,,Roermond
,,Roggel
,,Rolde 
,,Roosendaal en Nispen
,,Rosenburg
,,Rosendaal
,,Rosmalen
,,Rossum
,,Rotterdam
,,Ruchpen c.a.
,,Ruinen.
,,Ruinerwold.
,,Ruurlo.
,,Ruwiel.
,,RYCKHOLT
,,s GRAVENLAND
,,s GRAVENMOER
,,s GRAVENPOLDER
,,s GRAVENZANDE
,,s HEER-ARENDSKERKE
,,s HEERENHOEK
,,s Hertogenbosch
,,s-GRAVENDEEL
,,s-GRAVENHAGE
,,s'HEER-AMBTSKERKE
,,Sambeek.
,,Sappemeer.
,,Sas-Van-Gent
,,Sassenheim.
,,Schaesberg.
,,Schaijk.
,,Schalkwijk.
,,Scheemda.
,,Schellinkhout.
,,Schelluinen.
,,Schermerhorn.
,,Scherpenisse.
,,Scherpenzerl.
,,Schiebroek.
,,Schiedam.
,,Schiermonnikoog.
,,Schijndel.
,,Schimmert.
,,Schin op Geulle.
,,Schinnen.
,,Schinveld.
,,Schipluiden.
,,Schoonbeek.
,,Schoondijke.
,,Schoonhoven.
,,Schoonrewoerd.
,,Schoorl.
,,Schore.
,,Schoten.
,,Schoterland.
,,Serooskerke. (Schouwen).
,,Serooskerke. (Walcheren).
,,Sevenum.
,,Shagen.
,,Sijbekarspel
,,Simpelveld.
,,Sittard.
,,Sleen.
,,Slenaken
,,Sliedrecht
,,Slochteren
,,Sloten (Fr.)
,,Sloten (N.H.)
,,Sluis
,,Smallingerland
,,SMILDE
,,Sneek
,,Snelrewaard
,,Soerendonk. C.a.
,,Soest
,,Someren
,,Sommelsdijk
,,Son en Breugel
,,Spaarndam
,,Spanbroek
,,Spaubeek
,,Spijkenisse
,,Sprang
,,Stad A/T Haringvliet
,,Standdaarbuiten
,,Staphorst
,,Stavenisse
,,Stavoren
,,Stedum
,,Steenbergen c. a
,,Steenderen
,,Steenwijk
,,Steenwijkerwold
,,Stein
,,Stellendam
,,Stevensweert
,,Stiphout
,,Stolwijk
,,Stompwijk
,,Stoppeldijk
,,Stoutenburg
,,Stramproy
,,Stratum
,,Streefkerk
,,Strijen
,,Strijp
,,Susteren
,,Swalmen
,,t BILDT
,,t Zandt
,,Tegelen
,,Ten Boer
,,Ter Heijden
,,Termunten
,,Terschelling
,,Teteringen
,,Texel
,,Tholen
,,Thorn
,,Tiel
,,Tienhoven (Utr.)
,,Tienhoven (Z.H.)
,,Tietjerksteradeel
,,Tilburg
,,Tonge (Nieuwe-)
,,Tonge (oude)
,,Tongelre
,,Tubbergen
,,Tull en 't Waal
,,Twisk
,,Ubach over worms
,,UBBERGEN
,,UDEN 
,,UDENHOUT
,,UITGEEST
,,UITHOORN
,,UITHUIZEN
,,UITHUIZERMEEDEN
,,UITINGERADEEL
,,ULESTRATEN
,,ULRUM
,,URK
,,URMOND
,,URSUM
,,USQUERT
,,UTRECHT
,,VAALS
,,VALBURG
,,VALKENBURG (L.)
,,VALKENBURG (Z-H)
,,VALKENSWAARD
,,VARIK
,,VEEN
,,VEENDAM
,,VEENENDAAL
,,VEERE
,,VEGHEL
,,VELDHOVEN c.a.
,,VELDHUIZEN
,,VELP
,,VELSEN
,,VENHUIZEN
,,VENLO
,,VENRAY
,,VESSEM c.a.
,,VEUR
,,VIANEN
,,VIERLINGSBEEK
,,VIERPOLDERS
,,VINKEVEEN c.a.
,,VLAARDINGEN 
,,VLAARDINGER-AMBACHT
,,VLAGTWEDDE
,,VLEDDER
,,VLEUTEN
,,VLIELAND
,,VLIERDEN
,,VLIJMEN
,,VLISSINGEN
,,VLIST
,,VLODROP
,,VOERENDAAL
,,VOLLENHOVE (AMBT)
,,VOLLENHOVE (STAD)
,,VOORBURG
,,VOORHOUT
,,VOORSCHOTEN
,,VOORST
,,VORDEN
,,VREELAND
,,VREESWIJK
,,VRIES
,,VRIEZENVEEN
,,VRIJENBAN
,,VRIJHOEVE-CAPELLLE
,,VROUWENPOLDER
,,VUGHT
,,VUREN
,,WAALRE
,,WAALWIJK
,,WAARDE
,,WAARDENBURG
,,WAARDER
,,WADDINXVEEN
,,WADENOIJEN
,,WAGENINGEN
,,WAMEL
,,WANNEPERVEEN
,,WANROY
,,WANSSUM
,,WARDER
,,WARFFUM
,,WARMENHUIZEN
,,WARMOND
,,WARNSVELD
,,WASPIK
,,WASSENAAR
,,WATERGRAAFSMEER
,,WATERINGEN
,,WATERLANDKERKJE
,,WEDDE
,,WEERSELO
,,WEERT
,,WEESP
,,WEESPERKARSPEL
,,WEHL
,,WEMELDINGEN
,,WERKEN EN SLEEUWIJK (DE)
,,WERKENDAM
,,WERKHOVEN
,,WERVERSHOOF
,,WESSEM
,,WESTBROEK
,,WESTDONGERADEEL
,,WESTDORPE
,,WESTERBORK
,,WESTERHOVEN
,,WESTERVOORT
,,WESTKAPELLE
,,WESTMAAS
,,WESTSTELLINGWERF
,,WESTWOUD
,,WESTZAAN
,,WIERDEN
,,WIERINGEN
,,WIERINGERWAARD
,,WIJCHEN
,,WIJDENES
,,WIJDEWORMER
,,WIJHE
,,WIJK (DE)
,,WIJK AAN ZEE EN DUIN
,,WIJK BIJ DUURSTEDE
,,WIJK C.A.
,,WIJLRE
,,WIJMBRITSERADEEL
,,Wijnandsrade
,,Wijngaarden
,,Wildervank
,,Willemstad
,,Willeskop
,,Willige Langerak
,,Wilnis
,,Wilsum
,,Winkel
,,Winschoten
,,Winsum
,,Winterswijk
,,Wisch
,,Wissekerke
,,Wittem
,,Woensdrecht
,,Woensel
,,Woerden
,,Wognum
,,Wolphaartsdijk
,,Wonseradeel
,,Workum
,,Wormer
,,Wormerveer
,,Woubrugge
,,Woudenberg
,,Woudrichem
,,Wouw
,,Yerseke
,,Zaamslag
,,Zaandam
,,Zaandijk
,,Zalk en Veecaten
,,Zaltbommel
,,Zandvoort
,,Zeeland
,,Zeelst
,,Zegveld
,,Zegwaard
,,Zeist
,,Zelhem
,,Zesgehuchten
,,Zevenaar
,,Zevenbergen
,,Zevenhoven
,,Zevenhuizen
,,Zierikzee
,,Zijpe
,,Zoelen
,,Zoetermeer
,,Zoeterwoude
,,Zonnemaire
,,Zoutelande
,,Zuid- en Noordschermer
,,Zuid-Scharwoude
,,Zuidbroek
,,Zuiddorpe
,,Zuidhorn
,,Zuidland
,,Zuidlaren
,,Zuidwolde
,,Zuidzande
,,Zuilen
,,Zuilichem
,,Zundert
,,Zutphen
,,Zwaag
,,Zwammerdam
,,Zwartewaal
,,Zwartsluis
,,Zweeloo
,,Zwijndrecht
,,Zwolle
,,Zwollerkerspel
